Timestamp          , User    , Ticker  , StockName       , Action           , Confidence, Backtest_ROI
2026-01-31 22:51:45, skychen., 2330.TW , 台積電          , BUY (Speculative),        0.7, 200.45
2026-01-31 22:53:49, skychen., 3141.TWO, 晶宏            , HOLD / WATCH     ,        0.5, -13.2
2026-01-31 22:55:30, skychen., 2313.TW , 華通            , BUY ON PULLBACK  ,        0.7, 263.16
2026-01-31 22:56:42, skychen., 3491.TWO, 昇達科          , AVOID / WAIT     ,        0.0, 776.59
2026-01-31 22:58:17, skychen., 2324.TW , 仁寶            , STRONG BUY       ,        1  , 88.31
2026-01-31 23:06:03, skychen., 2330.TW , 台積電          , BUY (Speculative),        0.7, 200.45
2026-01-31 23:10:41, skychen., 0050.TW , 元大台灣50      , BUY ON PULLBACK  ,        1  , 145.67
2026-01-31 23:13:24, skychen., 2330.TW , 台積電          , BUY (Speculative),        0.7, 200.45
2026-01-31 23:14:38, skychen., 2324.TW , 仁寶            , STRONG BUY       ,        1  , 88.31
2026-01-31 23:15:46, skychen., 1605.TW , 華新            , BUY ON PULLBACK  ,        0.9, 40.48
2026-01-31 23:18:17, skychen., 3491.TWO, 昇達科          , AVOID / WAIT     ,        0.0, 776.59
2026-01-31 23:18:55, skychen., 2367.TW , 燿華            , AVOID / WAIT     ,        0.0, 144.33
2026-01-31 23:19:59, skychen., 0056.TW , 元大高股息      , STRONG BUY       ,        1  , 89.97
2026-01-31 23:21:09, skychen., LRCX    , LRCX            , STRONG BUY       ,        0.9, N/A
2026-01-31 23:22:09, skychen., SPAX.PVT, SPAX.PVT        , BUY              ,        0.6, N/A
2026-01-31 23:33:07, skychen., 2330.TW , 台積電          , BUY (Speculative),        0.7, 200.45
2026-01-31 23:34:56, skychen., 1605.TW , 華新            , BUY ON PULLBACK  ,        0.9, 40.48
2026-01-31 23:37:42, skychen., 2331.TW , 精英            , STRONG BUY       ,        1  , 75.15
2026-01-31 23:43:03, skychen., 6217.TWO, 中探針          , STRONG BUY       ,        0.9, 38.36
2026-01-31 23:44:00, he_sunny, 00919.TW, 群益台灣精選高息, STRONG BUY       ,        1  , 60.89
2026-01-31 23:46:11, he_sunny, 2646.TW , 星宇航空        , SELL             ,        0.2, 0.0
2026-01-31 23:52:25, he_sunny, 6469.TWO, 大樹            , BUY              ,        0.6, 145.17
2026-01-31 23:53:48, skychen., 6469.TWO, 大樹            , BUY              ,        0.6, 145.17
2026-01-31 23:55:58, skychen., 2603.TW , 長榮            , STRONG BUY       ,        0.9, 111.62
2026-02-01 00:01:21, skychen., 2002.TW , 中鋼            , SELL             ,        0.1, 0.01
2026-02-01 00:02:09, skychen., 2409.TW , 友達            , STRONG BUY       ,        0.8, 0.0
2026-02-01 00:02:57, skychen., 1313.TW , 聯成            , HOLD             ,        0.8, 0.0
2026-02-01 00:03:50, skychen., 3481.TW , 群創            , HOLD             ,        0.8, 0.01
2026-02-01 00:04:30, skychen., 2883.TW , 凱基金          , STRONG BUY       ,        1  , 0.01
2026-02-01 00:05:09, skychen., 1101.TW , 台泥            , STRONG BUY       ,        1  , 0.0
2026-02-01 00:06:17, skychen., 2002.TW , 中鋼            , SELL             ,        0.1, 0.01
2026-02-01 00:13:11, skychen., 2002.TW , 中鋼            , SELL             ,        0  , 0.01
2026-02-01 00:13:50, skychen., 2330.TW , 台積電          , BUY              ,        0.7, 200.45
2026-02-01 00:14:40, skychen., 1605.TW , 華新            , STRONG BUY       ,        1  , 40.48
2026-02-01 00:22:31, skychen., 2451.TW , 創見            , BUY              ,        0.6, 0.21
2026-02-01 00:44:17, skychen., 6469.TWO, 大樹            , BUY              ,        0.6, 145.17
2026-02-01 00:51:12, skychen., 2412.TW , 中華電          , SELL             ,        0.2, 0.05
2026-02-01 00:52:02, skychen., 1101.TW , 台泥            , STRONG BUY       ,        1  , 0.0
2026-02-01 00:52:52, skychen., 3035.TW , 智原            , SELL             ,        0  , 0.15
2026-02-01 00:53:26, skychen., 1519.TW , 華城            , BUY              ,        0.7, 1.0
2026-02-01 00:53:57, skychen., 2609.TW , 陽明            , STRONG BUY       ,        0.8, 0.04
2026-02-01 00:54:29, skychen., 2317.TW , 鴻海            , BUY              ,        0.6, 158.28
2026-02-01 01:28:15,skychen.,2412.TW,中華電,REDUCE / UNDERWEIGHT,0.3,0.05
2026-02-01 01:29:47,skychen.,2330.TW,台積電,BUY,0.7,200.45
2026-02-01 01:36:19,skychen.,2002.TW,中鋼,REDUCE / UNDERWEIGHT,0.35,0.01
2026-02-01 01:37:00,skychen.,1513.TW,中興電,REDUCE / UNDERWEIGHT,0.3,0.12
2026-02-01 01:37:40,skychen.,2105.TW,正新,HOLD (Neutral),0.6,0.01
2026-02-01 01:38:11,skychen.,2498.TW,宏達電,HOLD (Neutral),0.6,0.04
2026-02-01 01:46:39,skychen.,1605.TW,華新,REDUCE (Take Profit),0.3,40.48
2026-02-01 01:48:26,skychen.,6217.TWO,中探針,REDUCE (Take Profit),0.3,38.36
2026-02-01 01:48:59,skychen.,3037.TW,欣興,EXIT / AVOID,-0.15,0.16
2026-02-01 01:49:37,skychen.,6237.TWO,驊訊,REDUCE (Take Profit),0.3,-0.07
2026-02-01 01:57:16,skychen.,2330.TW,台積電,HOLD (Neutral),0.35,200.45
2026-02-01 02:00:24,skychen.,2330.TW,台積電,HOLD (Neutral),0.35,200.45
2026-02-01 02:01:12,skychen.,6239.TW,力成,EXIT / AVOID,0.15,0.06
2026-02-01 02:02:12,skychen.,6443.TW,元晶,REDUCE (Take Profit),0.3,0.02
2026-02-01 02:03:11,skychen.,3141.TWO,晶宏,REDUCE (Take Profit),0.3,-13.2
2026-02-01 02:10:56,skychen.,2330.TW,台積電,BUY,0.7000000000000001,200.45
